ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
0,[ 0.90291262  0.92783505],[ 0.93  0.9 ],[ 0.91625616  0.91370558],lbfgs,logistic,0.0001,(4, 6, 6)
0,[ 0.89855072  0.92746114],[ 0.93   0.895],[ 0.91400491  0.91094148],lbfgs,logistic,0.0001,(5, 2, 2)
0,[ 0.90821256  0.93782383],[ 0.94   0.905],[ 0.92383292  0.92111959],lbfgs,logistic,0.0001,(5, 2, 3)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(5, 2, 4)
0,[ 0.92346939  0.90686275],[ 0.905  0.925],[ 0.91414141  0.91584158],lbfgs,logistic,0.0001,(5, 2, 5)
0,[ 0.89903846  0.93229167],[ 0.935  0.895],[ 0.91666667  0.91326531],lbfgs,logistic,0.0001,(5, 2, 6)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(5, 3, 2)
0,[ 0.90243902  0.92307692],[ 0.925  0.9  ],[ 0.91358025  0.91139241],lbfgs,logistic,0.0001,(5, 3, 3)
0,[ 0.90196078  0.91836735],[ 0.92  0.9 ],[ 0.91089109  0.90909091],lbfgs,logistic,0.0001,(5, 3, 4)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(5, 3, 5)
0,[ 0.91878173  0.90640394],[ 0.905  0.92 ],[ 0.91183879  0.91315136],lbfgs,logistic,0.0001,(5, 3, 6)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(5, 4, 2)
0,[ 0.91919192  0.91089109],[ 0.91  0.92],[ 0.91457286  0.91542289],lbfgs,logistic,0.0001,(5, 4, 3)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(5, 4, 4)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(5, 4, 5)
