ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
1,sigmoid,[ 0.92613636  0.83482143],[ 0.815  0.935],[ 0.86702128  0.88207547],10,0.1
1,sigmoid,[ 0.8877551   0.87254902],[ 0.87  0.89],[ 0.87878788  0.88118812],10,1
1,sigmoid,[ 0.29411765  0.28571429],[ 0.3   0.28],[ 0.2970297   0.28282828],10,10
1,sigmoid,[ 0.31606218  0.32850242],[ 0.305  0.34 ],[ 0.31043257  0.33415233],10,100
1,sigmoid,[ 0.37810945  0.37688442],[ 0.38   0.375],[ 0.37905237  0.37593985],10,1000
1,sigmoid,[ 0.92307692  0.80952381],[ 0.78   0.935],[ 0.84552846  0.86774942],100,0.001
1,sigmoid,[ 0.92613636  0.83482143],[ 0.815  0.935],[ 0.86702128  0.88207547],100,0.01
1,sigmoid,[ 0.91666667  0.84090909],[ 0.825  0.925],[ 0.86842105  0.88095238],100,0.1
1,sigmoid,[ 0.87755102  0.8627451 ],[ 0.86  0.88],[ 0.86868687  0.87128713],100,1
1,sigmoid,[ 0.29411765  0.28571429],[ 0.3   0.28],[ 0.2970297   0.28282828],100,10
1,sigmoid,[ 0.31606218  0.32850242],[ 0.305  0.34 ],[ 0.31043257  0.33415233],100,100
1,sigmoid,[ 0.37810945  0.37688442],[ 0.38   0.375],[ 0.37905237  0.37593985],100,1000
1,sigmoid,[ 0.92613636  0.83482143],[ 0.815  0.935],[ 0.86702128  0.88207547],1000,0.001
1,sigmoid,[ 0.91666667  0.84090909],[ 0.825  0.925],[ 0.86842105  0.88095238],1000,0.01
1,sigmoid,[ 0.91304348  0.85185185],[ 0.84  0.92],[ 0.875       0.88461538],1000,0.1
1,sigmoid,[ 0.88205128  0.86341463],[ 0.86   0.885],[ 0.87088608  0.87407407],1000,1
1,sigmoid,[ 0.29411765  0.28571429],[ 0.3   0.28],[ 0.2970297   0.28282828],1000,10
1,sigmoid,[ 0.31606218  0.32850242],[ 0.305  0.34 ],[ 0.31043257  0.33415233],1000,100
1,sigmoid,[ 0.37810945  0.37688442],[ 0.38   0.375],[ 0.37905237  0.37593985],1000,1000
1,rbf,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.01,0.001
1,rbf,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.01,0.01
1,rbf,[ 0.90804598  0.81415929],[ 0.79  0.92],[ 0.84491979  0.86384977],0.01,0.1
1,rbf,[ 0.92261905  0.80603448],[ 0.775  0.935],[ 0.8423913   0.86574074],0.01,1
1,rbf,[ 0.92397661  0.81659389],[ 0.79   0.935],[ 0.85175202  0.87179487],0.01,10
